"Task Type","Task ID","Task Custom ID","Task Name","Status","Task Content","Assignee","Priority","Latest Comment","Comment Count","Assigned Comment Count","Due Date","Start Date","Date Created","Date Updated","Date Closed","Date Done","Created By","Space","Folder","List","Subtask ID's","Subtask URL's","tags","Lists","Sprints","Linked Tasks","Linked Docs","Time Logged","Time Logged Rolled Up","Time Estimate","Time Estimate Rolled Up","Points Estimate","Points Estimate Rolled Up","Affected by (tasks)","Affects versions RaaS (drop down)","Comentarios (text)","Component-ok (labels)","Fix Version RaaS (drop down)","Jira ID (text)","Orden (number)","PM (drop down)","Projects (drop down)","RN Client Description (text)","RN Int Description (text)","Release (drop down)","Release Name (drop down)","Release Notes Client (checkbox)","Release Notes Internal (checkbox)","Released (checkbox)","Review (drop down)","Revision (drop down)","Target Version RaaS (drop down)","Type oz (drop down)","🤓 User Acceptance Criteria (text)"
"Task","86dzmmmjc","RAAS-6392","Enhacements to Services fo Me 2 Me Product (M2M Pull) {EPIC}","in review","This Epic aims to include all the work to be done to provide the services and mechansims in Numi Platform to sustain the Me 2 Me Product Feature

The Product itself is being developed by Lola Team, see documentation of the API and the Widget =   

This Epic contains all the tasks identified by Platform team in order to implement the solution to give service to the product, see raw documentation in =   
","[]","none","",0,0,"","","Wednesday, February 4th 2026, 5:06:41 pm -03:00","Wednesday, February 4th 2026, 5:19:10 pm -03:00","","","Vanesa V. Vilas","Numi RaaS","Backlog Management Numi","Technical Requirements - TA RaaS","[86dzf4mp4]","[https://app.clickup.com/t/86dzf4mp4]","","[Technical Requirements - TA RaaS]","[]","","","","","","",,0,"","","","","","","","","","","","","","","","","","","","",""
"Task","86dzfr6nb","RAAS-6336","Alerts Mechanism for Providers Errors","code complete","Implement trigger Alerts for the Errors for  Providers Errors:
Arcus (when NotSufficientFunds)
Tickets CRM
","[Christian Galán]","URGENT","Reviewing with  @Christian Galán  to see if there is any way to test this  ",1,0,"","","Tuesday, January 27th 2026, 3:55:44 pm -03:00","Thursday, February 12th 2026, 11:32:28 am -03:00","","","Ana Mondragón","Numi RaaS","Backlog Management Numi","Technical Requirements - TA RaaS","[]","[]","[non-qa]","[Technical Requirements - TA RaaS, 2.2 CLOVE (M2M)]","[]","","","","","","",,0,"","","","","","","","","","","","","","","","","","","","",""
"Task","86dzd5n3p","RAAS-6338","Display Share Link only when operation is funded","Closed","Context
as per product definition it is necessary to change the moment where the share link is displayed to the user
It is necessary to ensure that the funds form the sender have been confirmed, to display to the sender that he can share the information for its receipient to complete their details

Work to be Done
The Mobile layer needs to check for the Operation Status and ensure it is already funded prior to display the Link to Share for the first time

See product requirement below
Timing of Share Link Delivery (Send to Collect):
The share link must only be delivered (shown) once the sender's funds are confirmed,
Card funding: after successful pull authorization. NOT IN SCOPE FOR THIS TASK, THIS NEEDS TO BE IMPLEMENTED IN ANOTHER TASK : Missing Share Link scenario (display only when operation is funded with Card) (https://app.clickup.com/t/1238940/RAAS-6566) 
Cash reload: after cash is deposited and confirmed.
See Figma Below
 
Acceptance Criteria
When the SENDER user defines that the recipient will fill its details, (SEND AND COLLECT) and it's the firlst time the sender is interacting with that recipient, the Experience to share the link is presented.
The user will be displayed with the link to share the operations details ONLY when the operation has already been funded: 
if he funded with cash, the deposit at the store -withy barcode- has been completed succesfully

","[Eliab Acevedo Avila, Vanesa V. Vilas]","NORMAL","image.png     Validated OK for NUMI SEND 2.3.1 on the following devices:   iPhone 8 - iOS 16.7.10   Samsung Galaxy S20 FE – Android 13  ",9,0,"","","Thursday, January 22nd 2026, 4:10:51 pm -03:00","Tuesday, March 31st 2026, 4:29:47 pm -03:00","Tuesday, March 31st 2026, 4:29:47 pm -03:00","Tuesday, March 31st 2026, 4:29:47 pm -03:00","Vanesa V. Vilas","Numi RaaS","Backlog Management Numi","Technical Requirements - TA RaaS","[]","[]","[mobile]","[Technical Requirements - TA RaaS, 2.3.1 Sandalwood (Bug Fixing)]","[]","","","","","","",,0,"","","","[Mobile]","","","","","RaaS","","","","","","","","","","","UX Enhancement",""
"Task","86dzcjj25","RAAS-6343","Widget M2M [EPIC]","canceled","
","[Alejandro Pirola]","URGENT","Cancelling as this is not the correct task see   86dzmmmjc  ",1,0,"","","Wednesday, January 21st 2026, 5:09:19 pm -03:00","Wednesday, February 4th 2026, 5:26:04 pm -03:00","","Wednesday, February 4th 2026, 5:24:22 pm -03:00","Ana Mondragón","Numi RaaS","RaaS Releases","2.2 CLOVE (M2M)","[86dzcjrf6]","[https://app.clickup.com/t/86dzcjrf6]","","[2.2 CLOVE (M2M), Technical Requirements - TA RaaS]","[]","","","","","","",,0,"","","","","","","","","","","","","","","","","","","","",""
"Task","86dzaw8z5","RAAS-6384","Upgrade / enhance account ownership verification","blocked","Review current implementation - TA review Arcus status for this feature
Explore new provider - TA + CTO to meet
 

","[Vanesa V. Vilas]","HIGH","I am blocking because I am currently investigating if Arcus still has this issue and if there is an alternative to procure the information of the account for the UBN with other provider  ",1,0,"","","Monday, January 19th 2026, 11:11:00 am -03:00","Wednesday, February 4th 2026, 5:33:51 pm -03:00","","","Vanesa V. Vilas","Numi RaaS","Backlog Management Numi","Technical Requirements - TA RaaS","[]","[]","","[Technical Requirements - TA RaaS, 2.3 SANDALWOOD]","[]","","","","","","",,0,"","","","","","","","","","","","","","","","","","","","",""
"Task","86dzaw22e","RAAS-6344","New Feature Me 2 Me {EPIC}","in qa","This Epic aims to describe all the work to be done to implement the new feature me to me, where basically the user will be able to send money to an account that also belongs to himself in another country.
The following premises defined by business are to be considered

there will not be a recipient user created in the platform
the recipient user is expected to be handled with the same data (PI) than the sender user, 
To be Confirmed with Business: if the address or any other PI such as a national ID is necessary to be added and how that is going to be handled in that case, with the consideration of the first premise 
Only the destination payment method for the destination country will need to be defined once the user defines he is sending money to himself
The destination country defined by the user is the one that will be taken in consideration for the corridor to be defined
the destionation country of the payment method can be different
The Contry to be considered for the Risk Transaction Analysis (SEON) is the country of the paymen method 

See full documentation of the requirement in the floowing google doc:
 
 

","[]","URGENT","",0,0,"","","Monday, January 19th 2026, 10:59:42 am -03:00","Wednesday, February 4th 2026, 6:21:15 pm -03:00","","","Vanesa V. Vilas","Numi RaaS","Backlog Management Numi","Technical Requirements - TA RaaS","[86dzaw3rr, 86dzaw4bx]","[https://app.clickup.com/t/86dzaw3rr, https://app.clickup.com/t/86dzaw4bx]","","[Technical Requirements - TA RaaS, 2.2 CLOVE (M2M)]","[]","","","","","","",,0,"","","","","","","","","","","","","","","","","","","","Epic",""
"Task","86dz4vp6g","RAAS-6570","Enhacement to Map missing fields in SEON Fraud API call in Transactions","in qa","Context
It was identified by Risks team that certain fields were not being sent in the SEON FRAUD API call.
The detail is as follows
Middle Name
Was missing in the API call due to a missing mapping in the operation data
DOB
was not being sent because it was not propagated properly from the user profile to the operation, and this work was agreed with risks team to be handled ""post-mvp""

Work To Be Done
The Platform needs to handle the mentioned fields to be present in the information of the oepration to be used in the SEON API call
The fields that need to be used were defined originally in the documentation
Fraud API (https://app.clickup.com/1238940/docs/15tww-59737/15tww-41257)

Acceptance criteria
When the operation is performed and the SEON FRAUD API call is executed to determine wether or not the operation can be completed, the  fields middle name and date of birth for the sender need to be sent in the API Call
For Testing purposes the request sent for each operation can be reviewed in the SEON Dashboard in Sandbox

","[Claudia Bolaños, Christian Galán]","none","",0,0,"","","Wednesday, January 7th 2026, 4:22:22 pm -03:00","Thursday, January 8th 2026, 2:38:47 pm -03:00","","","Vanesa V. Vilas","Numi RaaS","Backlog Management Numi","Technical Requirements - TA RaaS","[]","[]","[backend, hot-fix]","[Technical Requirements - TA RaaS, 2.1.1 NOCHEBUENA Bug Fixing]","[]","","","","","","",,0,"","","","","","","","","","","","","","","","","","","","",""
"Task","86dyzjkc9","RAAS-6391","SEON Webhook- Handle change in Signature Hash / Validation","Closed","Context
during testing with SEON of the new AML feature in the FRAUD API, it was identified that the original webhook implementation was deprecated and that there was a new webhook handling in their administrative panel, as long as a new signature validation process for the events that are sent to the webhook

Work to be Done
the Platform needs to made the necessary changes in the handling of the events that are sent by SEON to handle the new hash algorithm / validation to allow the Events from SEON to be received and processed by the configured webhook

Acceptance Criteria
This is a general accpetance ticket. Overall the features that involve SEON fraud api and the Events triggered should work with no issues
For Testing Purposes
when the user is performing a transacction the SEON feature needs to be enabled (the Fake Seon API needs to be removed)
the transaction needs to be executed with no issues
it is advised that the scenario to test form SEON fraud engine is the one that results in a Review status for the transaction, and then execute the review from SEON dashboard, to see if the events are properly handled 
","[Christian Galán]","none","With enabled feature all users where ending up in Lists match, but beyond that once approved TX was completed OK.     image.png   image.png  ",1,0,"","","Tuesday, December 23rd 2025, 3:30:13 pm -03:00","Wednesday, February 18th 2026, 6:08:26 pm -03:00","Wednesday, February 18th 2026, 6:08:26 pm -03:00","Wednesday, February 18th 2026, 6:08:26 pm -03:00","Vanesa V. Vilas","Numi RaaS","Backlog Management Numi","Technical Requirements - TA RaaS","[]","[]","","[Technical Requirements - TA RaaS, 2.1.0 NOCHEBUENA (Cash Load)]","[]","","","","","","",,0,"","","","","","","","","","","","","","","","","","","","",""
"Task","86dyw9pfh","RAAS-6510","Enhacement for Widget Send to handle CIP through Lola","in review","
","[Javier Comas, Christian Galán]","none","",0,0,"","","Tuesday, December 16th 2025, 2:45:48 pm -03:00","Tuesday, December 16th 2025, 2:46:40 pm -03:00","","","Vanesa V. Vilas","Numi RaaS","Backlog Management Numi","Technical Requirements - TA RaaS","[]","[]","","[Technical Requirements - TA RaaS]","[]","","","","","","",,0,"","","","","","","","","","","","","","","","","","","","",""
"Task","86dyra1zt","RAAS-6463","Lola KYC","to do","
 
","[]","none","",0,0,"","","Monday, December 8th 2025, 4:31:01 pm -03:00","Tuesday, December 9th 2025, 5:14:13 pm -03:00","","","Valeria Ruiz","Numi RaaS","Backlog Management Numi","Technical Requirements - TA RaaS","[]","[]","","[Technical Requirements - TA RaaS]","[]","","","","","","",,0,"","","","","","","","","","","","","","","","","","","","",""
"Task","86dyqc7q4","RAAS-6377","Handle new AES Key usage in Incomm Integration","Closed","Context
the provider of Cash Load in retailers, Incomm, has informed that they are changing the way the AES encruption is used in their platform

This key is used to encode the primaryAccountNumber field in the generation of the barcode

As a result, the handling of the AES encryption and usage in the platform for barcode generation, needs to be updated

This change needs to be made and rolled out to production prior to February 2026

Work to be Done
The platform needs to udpate the handling of the AES key to use the different encription definition requested by Incomm, see quoted information below:


 InComm is planning to migrate application from AES ECB((Electronic Codebook) mode to AES GCM(Galois/Counter) mode. ECB is considered a weaker encryption mode, and hence, InComm's Compliance Team requested that it migrate to a stronger GCM encryption mode on or before end of February. From InComm's side, the VRS application is ready in all environments, including UAT and PROD.

As a part of the changes, two components will be affected:
1. All request/response parameters currently encrypted should be encrypted using GCM mode.
2. In addition, for the responseCode 97 scenario, currently, the AES key is shared in a plain text format. Going forward, it will be an encrypted value. For this, GCM mode will be used for encryption, and the payload can be decrypted using the previous/recently expired key.

Currently, both ECB and GCM modes are supported. Requesting to plan a change on or before the deadline (end of February). Earlier is better; after the deadline, we will stop supporting ECB mode.

Please find the attached document for the change and code sample. Please let us know if you need any more details.
  
See also attached document = 
 
Acceptance Criteria
this is a general acceptance ticket, for the Cash Load feature. The feature needs to work with no issues and no changes evident to the user
","[Christian Galán]","URGENT","Validated over NUMI SEND 2.2.1 pver the following Devices/ Platform/ OS Version:   iPhone 14 Plus/ iOS 18.6.2 -  Working OK   Moto G15/ Android 15 -  Working OK   CASH TXs completed OK  ",3,0,"","","Friday, December 5th 2025, 2:04:44 pm -03:00","Monday, February 9th 2026, 11:19:44 am -03:00","Monday, February 9th 2026, 11:19:44 am -03:00","Monday, February 9th 2026, 11:19:44 am -03:00","Vanesa V. Vilas","Numi RaaS","Backlog Management Numi","Technical Requirements - TA RaaS","[]","[]","[backend]","[Technical Requirements - TA RaaS, 2.2 CLOVE (M2M)]","[]","","","","","","",,0,"","","","","","","","","","","","","","","","","","","","",""
"Task","86dyqc7dd","RAAS-6569","Review In-House name comparison algorithm for Card Validation","in review","
","[]","none","",0,0,"","","Friday, December 5th 2025, 2:04:17 pm -03:00","Friday, December 5th 2025, 2:04:57 pm -03:00","","","Vanesa V. Vilas","Numi RaaS","Backlog Management Numi","Technical Requirements - TA RaaS","[]","[]","","[Technical Requirements - TA RaaS]","[]","","","","","","",,0,"","","","","","","","","","","","","","","","","","","","",""
